"Emmanuel Tshimanga","New Mexico St.",CUSA,29,38.6,117,11.7,61.5,65.67,9.8,19.1,5.6,23.1,28,38,0.737,32,52,0.615,0,0,0,4.5,1.5,73.1,Sr,7-0,25,0.843339,105.527,5.5,2025,70385,"Montreal, Canada",,0.68189092,24,39,8,13,0.6154,0.6154,1,3,0.3333,,98.9971,99.162,1.74679,88.0091,4.32426,-0.932213,5.25648,1.58609,15.4375,-1.74994,3.33603,1.4688,2.7500,4.2188,0.4688,0.4375,0.6250,3.5312,C,0
"Ofure Ujadughele","UC Irvine",BW,38,27.6,84.2,12,30.4,35.27,4.9,14,20.1,30.3,10,15,0.667,11,36,0.306,3,15,0.2,0,3.6,29.4,Sr,6-3,10,-0.598814,74.1252,5.5,2025,70388,"Long Beach, CA",,1.96302170,7,15,4,21,0.4667,0.1905,0,0,,,92.5065,92.526,1.50156,94.6243,-0.0203498,-3.7793,3.75895,-1.33564,11.2026,-5.90719,4.57156,0.4359,1.5385,1.9744,1.3590,0.7179,0.0000,1.0769,"Combo G",2.02496
"Robert Carpenter","New Mexico St.",CUSA,29,55.1,108,23.6,46.7,48.57,10.5,20.2,5.5,7.6,29,41,0.707,63,127,0.496,44,149,0.295,3.9,1.2,14.9,Sr,6-7,21,1.91455,114.817,4,2025,70391,"Detroit, MI",,0.72727273,41,66,22,61,0.6212,0.3607,11,12,0.9167,,99.5636,99.7294,2.45069,122.938,3.22302,1.71607,1.50695,3.56459,21.8281,3.19,0.374587,2.0000,3.8125,5.8125,0.5000,0.5000,0.7188,10.1250,PF/C,14.0551
"Trevin Knell",BYU,B12,36,49.8,127.3,17.9,63.9,65.32,2.7,10.8,10.9,13,41,56,0.732,32,51,0.627,75,175,0.429,0.5,2.7,24.8,Sr,6-5,21,2.83323,130.783,3.8,2025,70397,"Woods Cross, UT",33.6,1.55163855,25,36,7,15,0.6944,0.4667,0,0,,,105.85,100.102,2.18878,129.027,8.43273,7.3451,1.08763,7.36047,20.2583,5.21392,2.14655,0.4444,1.9167,2.3611,1.2500,0.9444,0.0833,9.1667,"Combo G",14.0311
"David Skogman",DePaul,BE,20,25.2,110.7,19.1,56.2,56.39,8.2,25.6,13.3,15,9,16,0.563,29,51,0.569,20,54,0.37,1.8,0.8,15.2,Sr,6-10,42,1.37425,112.916,3.3,2025,70415,"Waukesha, WI",45.4,1.35294111,26,42,3,9,0.6190,0.3333,3,3,1.0000,,105.78,103.93,1.65414,65.7776,2.18736,1.36471,0.822646,3.20424,17.5450,2.24061,0.963625,1.2000,3.9000,5.1000,1.1500,0.2500,0.3000,6.3500,PF/C,9.128
"Mickey Pearson Jr.","Ball St.",MAC,28,75.4,112.3,19.9,50.4,56.92,5.2,16,7,12,94,113,0.832,67,132,0.508,40,120,0.333,2,0.8,44.8,Sr,6-8,3,1.94036,108.318,2.6,2025,70432,"Lincoln, AL",20.2,0.82500191,43,75,24,57,0.5733,0.4211,0,0,,,110.294,112.998,1.96577,140.679,-1.20446,0.28583,-1.49029,-0.46651,29.2935,1.1192,-1.58571,1.3226,4.2258,5.5484,1.0645,0.4194,0.4839,12.2258,"Stretch 4",8.18235
"Gibson Jimerson","Saint Louis",A10,32,94.7,112.8,20.2,54.4,57.91,2.6,10.8,4.7,8.6,89,108,0.824,82,144,0.569,98,277,0.354,0.5,1,25.7,Sr,6-5,24,3.36648,115.379,1.5,2025,70438,"Richmond, VA",8.0,0.76315324,75,124,7,20,0.6048,0.3500,1,1,1.0000,,109.604,108.141,3.10852,183.969,-0.106919,1.88442,-1.99134,0.348341,37.7706,1.90941,-1.56107,0.8529,3.7647,4.6176,0.8529,0.7059,0.2059,17.7353,"Wing G",13.3356
"Quinton Morton-Robertson","Purdue Fort Wayne",Horz,30,76,106.3,15.8,52.6,54.5,0.4,9.6,14.7,15.7,25,32,0.781,25,63,0.397,63,164,0.384,0,2.7,14.1,Sr,5-8,3,0.84101,97.7543,2.3,2025,70478,"Radford, VA",,2.10005432,15,29,10,34,0.5172,0.2941,0,0,,,108.976,110.669,2.22609,155.127,-0.0190421,0.200302,-0.219344,-0.653825,30.5968,-0.860756,0.20693,0.0968,2.5484,2.6452,2.7097,1.4516,0.0000,8.6452,"Combo G",10.1368
"Daniel Banister",Hampton,CAA,23,8.6,111.8,10.2,41.2,44.57,9.4,13.8,5.1,11.5,2,2,1,1,9,0.111,4,8,0.5,7,1.8,11.8,Sr,6-5,23,0.0705117,94.3193,5.4,2025,70486,"Chesapeake, VA",,3.00130051,1,5,0,4,0.2000,0.0000,0,0,,,105.178,106.394,0.394249,18.7581,1.34361,-1.99186,3.33547,-1.34991,4.8538,-1.86371,0.513795,0.3462,0.5385,0.8846,0.2308,0.1154,0.3846,0.8846,"Stretch 4",4.68709
"Rahmir Moore",Wagner,NEC,1,2.7,66.8,23.8,25,28.06,4,4.7,8.9,9.7,1,1,1,3,12,0.25,0,0,0,0,0,8.3,Sr,6-2,0,-1.8589,71.1134,4.2,2025,70501,"Philadelphia, PA",,4.00000000,1,5,2,7,0.2000,0.2857,0,1,0.0000,,111.275,101.911,2.97455,3.03659,-16.5058,-10.9483,-5.55751,-10.3035,27.0500,-7.71163,-2.59183,1.0000,1.0000,2.0000,2.0000,0.0000,0.0000,9.5000,PF/C,0
